,Reduction Method,N Components,JL Applied,Test Acc,1 Star Acc,2 Star Acc,3 Star Acc,4 Star Acc,5 Star Acc
0,None,0.0,None,0.4150312542915344,0.7464212775230408,0.34508463740348816,0.026708073914051056,0.25997185707092285,0.7031863331794739
1,GAUSSIAN,672.0,conv1d,0.34865623712539673,0.512033998966217,0.678987443447113,0.059006210416555405,0.2710777521133423,0.2224140614271164
2,SPARSE,672.0,conv1d,0.36006250977516174,0.8365581035614014,0.1534399688243866,0.01677018590271473,0.16596277058124542,0.6352220773696899
3,GAUSSIAN,576.0,conv1d,0.3177500069141388,0.45052698254585266,0.7058549523353577,0.052950311452150345,0.3065853416919708,0.07188824564218521
4,SPARSE,576.0,conv1d,0.39243748784065247,0.6142834424972534,0.39120981097221375,0.03105590119957924,0.434224933385849,0.49568358063697815
5,GAUSSIAN,480.0,conv1d,0.3308437466621399,0.25452256202697754,0.6988663077354431,0.06397515535354614,0.3902706205844879,0.24517343938350677
6,SPARSE,480.0,conv1d,0.34828126430511475,0.7648261785507202,0.11740953475236893,0.004037267062813044,0.5035194754600525,0.3581855297088623
7,GAUSSIAN,384.0,conv1d,0.24546875059604645,0.03555136173963547,0.9625717997550964,0.0001552795001771301,0.14109182357788086,0.08287552744150162
8,SPARSE,384.0,conv1d,0.2784999907016754,0.6525090336799622,0.3441528081893921,0.11723602563142776,0.23181605339050293,0.04881494119763374
9,GAUSSIAN,288.0,conv1d,0.2510312497615814,0.17413873970508575,0.479732871055603,0.04487577825784683,0.5490379929542542,0.005964526906609535
10,SPARSE,288.0,conv1d,0.24634374678134918,0.9509202241897583,0.06926541030406952,0.05993788689374924,0.01830126717686653,0.13953852653503418
11,GAUSSIAN,192.0,conv1d,0.2486875057220459,0.39782917499542236,0.44447895884513855,0.10465838760137558,0.2907868027687073,0.005336681846529245
12,SPARSE,192.0,conv1d,0.17503124475479126,0.00031461380422115326,0.0015530361561104655,0.0017080745892599225,0.3245737552642822,0.549835205078125
13,GAUSSIAN,96.0,conv1d,0.2006562501192093,0.45351579785346985,0.05668582022190094,0.007298136595636606,0.3702487051486969,0.11913357675075531
14,SPARSE,96.0,conv1d,0.23328125476837158,0.12836243212223053,0.009939431212842464,0.0013975155306980014,0.22634130716323853,0.8050541281700134
15,GAUSSIAN,48.0,conv1d,0.21287499368190765,0.19270095229148865,0.011492467485368252,0.04503105580806732,0.07367432862520218,0.7458797693252563
16,SPARSE,48.0,conv1d,0.20659375190734863,0.20890356600284576,0.42708495259284973,0.0024844720028340816,0.055998750030994415,0.3388792872428894
17,GAUSSIAN,24.0,conv1d,0.18681250512599945,0.017146453261375427,0.04938654974102974,0.4063664674758911,0.2413577288389206,0.21833306550979614
18,SPARSE,24.0,conv1d,0.20350000262260437,0.06072046607732773,0.01739400438964367,0.02142857201397419,0.07367432862520218,0.8483754396438599
19,GAUSSIAN,56.0,attn,0.402156263589859,0.804467499256134,0.2958534061908722,0.024378882721066475,0.25277647376060486,0.6399309635162354
20,SPARSE,56.0,attn,0.41590625047683716,0.6822400689125061,0.40208107233047485,0.05745341628789902,0.33489754796028137,0.6077538728713989
21,GAUSSIAN,48.0,attn,0.41203126311302185,0.7717477083206177,0.3163534700870514,0.028881987556815147,0.2854684889316559,0.6641029715538025
22,SPARSE,48.0,attn,0.4077812433242798,0.796602189540863,0.3353005051612854,0.022049689665436745,0.2731112241744995,0.6181133389472961
23,GAUSSIAN,40.0,attn,0.42131251096725464,0.7376120686531067,0.33281564712524414,0.0274844728410244,0.38338807225227356,0.6312980651855469
24,SPARSE,40.0,attn,0.4140937626361847,0.7361963391304016,0.3293989896774292,0.03555900603532791,0.3178476393222809,0.6575105786323547
25,GAUSSIAN,32.0,attn,0.418156236410141,0.703161895275116,0.35409224033355713,0.030590062960982323,0.34725481271743774,0.6614346504211426
26,SPARSE,32.0,attn,0.402281254529953,0.7811861038208008,0.32396334409713745,0.031677018851041794,0.25981542468070984,0.6209385991096497
27,GAUSSIAN,24.0,attn,0.41984376311302185,0.6580147743225098,0.3749029338359833,0.04689440876245499,0.3844830393791199,0.640087902545929
28,SPARSE,24.0,attn,0.4035624861717224,0.734151303768158,0.3003571927547455,0.030279502272605896,0.2713905870914459,0.6879611015319824
29,GAUSSIAN,16.0,attn,0.4024375081062317,0.6534528732299805,0.302997350692749,0.030590062960982323,0.3675895631313324,0.6633181571960449
30,SPARSE,16.0,attn,0.40559375286102295,0.6252949237823486,0.37008851766586304,0.031366460025310516,0.3375566899776459,0.6688117980957031
31,GAUSSIAN,8.0,attn,0.39762499928474426,0.6748466491699219,0.3264482021331787,0.03478260710835457,0.38886281847953796,0.5685135722160339
32,SPARSE,8.0,attn,0.39528125524520874,0.5788894295692444,0.2759745419025421,0.027950311079621315,0.5185359120368958,0.5802856683731079
33,GAUSSIAN,4.0,attn,0.35481250286102295,0.5708667635917664,0.26929646730422974,0.13711179792881012,0.5174409747123718,0.2825302183628082
34,SPARSE,4.0,attn,0.36274999380111694,0.6845996379852295,0.21509550511837006,0.0018633540021255612,0.3488190174102783,0.5696123242378235
35,GAUSSIAN,2.0,attn,0.33387500047683716,0.7294321060180664,0.2988041639328003,0.008850932121276855,0.4691068232059479,0.16747763752937317
36,SPARSE,2.0,attn,0.35106250643730164,0.7232971787452698,0.19770151376724243,0.048291925340890884,0.533239483833313,0.2578873038291931
